model,maze,size,category,mazeType,strategy,history,total,correct,wrong,exceptions,accuracy,wrongRate,exceptionRate,timePerCell,passableCells,edges
gemma3:12b,11x11_corridor_spiral,11,corridor,corridor_spiral,matrix,no,48,8,40,0,16.7,83.3,0,0.47,49,48
gemma3:12b,11x11_corridor_spiral,11,corridor,corridor_spiral,matrix,yes,48,6,42,0,12.5,87.5,0,0.52,49,48
gemma3:12b,11x11_corridor_spiral,11,corridor,corridor_spiral,simple,no,48,13,35,0,27.1,72.9,0,0.47,49,48
gemma3:12b,11x11_corridor_spiral,11,corridor,corridor_spiral,simple,yes,48,10,38,0,20.8,79.2,0,0.52,49,48
gemma3:12b,11x11_corridor_straight,11,corridor,corridor_straight,graph,no,48,19,29,0,39.6,60.4,0,0.93,49,48
gemma3:12b,11x11_corridor_straight,11,corridor,corridor_straight,graph,yes,48,27,21,0,56.2,43.8,0,0.98,49,48
gemma3:12b,11x11_corridor_straight,11,corridor,corridor_straight,list,no,48,19,29,0,39.6,60.4,0,0.47,49,48
gemma3:12b,11x11_corridor_straight,11,corridor,corridor_straight,list,yes,48,25,23,0,52.1,47.9,0,0.52,49,48
gemma3:12b,11x11_corridor_straight,11,corridor,corridor_straight,matrix,no,48,16,32,0,33.3,66.7,0,0.48,49,48
gemma3:12b,11x11_corridor_straight,11,corridor,corridor_straight,matrix,yes,48,16,32,0,33.3,66.7,0,0.52,49,48
gemma3:12b,11x11_corridor_straight,11,corridor,corridor_straight,simple,no,48,23,25,0,47.9,52.1,0,0.46,49,48
gemma3:12b,11x11_corridor_straight,11,corridor,corridor_straight,simple,yes,48,35,13,0,72.9,27.1,0,0.52,49,48
gemma3:12b,11x11_open_detour,11,open,open_detour,graph,no,72,18,54,0,25,75,0,1.43,73,120
gemma3:12b,11x11_open_detour,11,open,open_detour,graph,yes,72,28,44,0,38.9,61.1,0,1.43,73,120
gemma3:12b,11x11_open_detour,11,open,open_detour,list,no,72,34,38,0,47.2,52.8,0,0.47,73,120
gemma3:12b,11x11_open_detour,11,open,open_detour,list,yes,72,49,23,0,68.1,31.9,0,0.49,73,120
gemma3:12b,11x11_open_detour,11,open,open_detour,matrix,no,72,10,62,0,13.9,86.1,0,0.46,73,120
gemma3:12b,11x11_open_detour,11,open,open_detour,matrix,yes,72,18,54,0,25,75,0,0.49,73,120
gemma3:12b,11x11_open_detour,11,open,open_detour,simple,no,72,24,48,0,33.3,66.7,0,0.46,73,120
gemma3:12b,11x11_open_detour,11,open,open_detour,simple,yes,72,38,34,0,52.8,47.2,0,0.49,73,120
gemma3:12b,11x11_open_empty,11,open,open_empty,graph,no,80,59,21,0,73.7,26.3,0,1.62,81,144
gemma3:12b,11x11_open_empty,11,open,open_empty,graph,yes,80,56,24,0,70,30,0,1.59,81,144
gemma3:12b,11x11_open_empty,11,open,open_empty,list,no,80,70,10,0,87.5,12.5,0,0.48,81,144
gemma3:12b,11x11_open_empty,11,open,open_empty,list,yes,80,75,5,0,93.7,6.3,0,0.49,81,144
gemma3:12b,11x11_open_empty,11,open,open_empty,matrix,no,80,63,17,0,78.7,21.3,0,0.47,81,144
gemma3:12b,11x11_open_empty,11,open,open_empty,matrix,yes,80,64,16,0,80,20,0,0.49,81,144
gemma3:12b,11x11_open_empty,11,open,open_empty,simple,no,80,70,10,0,87.5,12.5,0,0.44,81,144
gemma3:12b,11x11_open_empty,11,open,open_empty,simple,yes,80,66,14,0,82.5,17.5,0,0.49,81,144
gemma3:12b,11x11_open_pass,11,open,open_pass,graph,no,71,49,22,0,69,31,0,1.42,72,120
gemma3:12b,11x11_open_pass,11,open,open_pass,graph,yes,71,47,24,0,66.2,33.8,0,1.42,72,120
gemma3:12b,11x11_open_pass,11,open,open_pass,list,no,71,58,13,0,81.7,18.3,0,0.47,72,120
gemma3:12b,11x11_open_pass,11,open,open_pass,list,yes,71,61,10,0,85.9,14.1,0,0.49,72,120
gemma3:12b,11x11_open_pass,11,open,open_pass,matrix,no,71,48,23,0,67.6,32.4,0,0.47,72,120
gemma3:12b,11x11_open_pass,11,open,open_pass,matrix,yes,71,52,19,0,73.2,26.8,0,0.49,72,120
gemma3:12b,11x11_open_pass,11,open,open_pass,simple,no,71,48,23,0,67.6,32.4,0,0.46,72,120
gemma3:12b,11x11_open_pass,11,open,open_pass,simple,yes,71,54,17,0,76.1,23.9,0,0.49,72,120
gpt-oss:20b,11x11_corridor_branch,11,corridor,corridor_branch,graph,no,49,36,13,2,73.5,26.5,4.1,320.55,50,50
gpt-oss:20b,11x11_corridor_branch,11,corridor,corridor_branch,graph,yes,49,45,4,1,91.8,8.2,2,74.04,50,50
gpt-oss:20b,11x11_corridor_branch,11,corridor,corridor_branch,list,no,49,42,7,2,85.7,14.3,4.1,215.68,50,50
gpt-oss:20b,11x11_corridor_branch,11,corridor,corridor_branch,list,yes,49,44,5,0,89.8,10.2,0,36.62,50,50
gpt-oss:20b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,graph,no,48,36,12,2,75,25,4.2,362.41,49,48
gpt-oss:20b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,graph,yes,48,38,10,0,79.2,20.8,0,72.38,49,48
gpt-oss:20b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,list,no,48,42,6,0,87.5,12.5,0,218.35,49,48
gpt-oss:20b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,list,yes,48,40,8,0,83.3,16.7,0,103.04,49,48
gpt-oss:20b,11x11_corridor_loop,11,corridor,corridor_loop,graph,no,50,43,7,3,86,14,6,219.52,51,52
gpt-oss:20b,11x11_corridor_loop,11,corridor,corridor_loop,graph,yes,50,43,7,0,86,14,0,60.31,51,52
gpt-oss:20b,11x11_corridor_loop,11,corridor,corridor_loop,list,no,50,44,6,1,88,12,2,143.62,51,52
gpt-oss:20b,11x11_corridor_loop,11,corridor,corridor_loop,list,yes,50,39,11,0,78,22,0,85.41,51,52
gpt-oss:20b,11x11_corridor_spiral,11,corridor,corridor_spiral,graph,no,48,29,19,3,60.4,39.6,6.3,480.66,49,48
gpt-oss:20b,11x11_corridor_spiral,11,corridor,corridor_spiral,graph,yes,48,42,6,2,87.5,12.5,4.2,233.89,49,48
gpt-oss:20b,11x11_corridor_spiral,11,corridor,corridor_spiral,list,no,48,29,19,6,60.4,39.6,12.5,498.76,49,48
gpt-oss:20b,11x11_corridor_spiral,11,corridor,corridor_spiral,list,yes,48,40,8,1,83.3,16.7,2.1,276.42,49,48
gpt-oss:20b,11x11_corridor_straight,11,corridor,corridor_straight,graph,no,48,34,14,1,70.8,29.2,2.1,256.23,49,48
gpt-oss:20b,11x11_corridor_straight,11,corridor,corridor_straight,graph,yes,48,43,5,1,89.6,10.4,2.1,106.21,49,48
gpt-oss:20b,11x11_corridor_straight,11,corridor,corridor_straight,list,no,48,42,6,0,87.5,12.5,0,71.16,49,48
gpt-oss:20b,11x11_corridor_straight,11,corridor,corridor_straight,list,yes,48,46,2,0,95.8,4.2,0,48.62,49,48
gpt-oss:20b,11x11_corridor_straight,11,corridor,corridor_straight,matrix,no,48,44,4,0,91.7,8.3,0,119.36,49,48
gpt-oss:20b,11x11_corridor_straight,11,corridor,corridor_straight,matrix,yes,48,45,3,0,93.7,6.3,0,128.31,49,48
gpt-oss:20b,11x11_corridor_straight,11,corridor,corridor_straight,simple,no,48,39,9,3,81.2,18.8,6.3,386.54,49,48
gpt-oss:20b,11x11_corridor_straight,11,corridor,corridor_straight,simple,yes,48,31,17,7,64.6,35.4,14.6,551.25,49,48
gpt-oss:20b,11x11_open_detour,11,open,open_detour,graph,no,72,61,11,4,84.7,15.3,5.6,219.57,73,120
gpt-oss:20b,11x11_open_detour,11,open,open_detour,graph,yes,72,63,9,1,87.5,12.5,1.4,180.9,73,120
gpt-oss:20b,11x11_open_detour,11,open,open_detour,list,no,72,72,0,0,100,0,0,38.52,73,120
gpt-oss:20b,11x11_open_detour,11,open,open_detour,list,yes,72,72,0,0,100,0,0,36.7,73,120
gpt-oss:20b,11x11_open_empty,11,open,open_empty,graph,no,80,80,0,0,100,0,0,12.55,81,144
gpt-oss:20b,11x11_open_empty,11,open,open_empty,graph,yes,80,80,0,0,100,0,0,22.08,81,144
gpt-oss:20b,11x11_open_empty,11,open,open_empty,list,no,80,80,0,0,100,0,0,9.77,81,144
gpt-oss:20b,11x11_open_empty,11,open,open_empty,list,yes,80,80,0,0,100,0,0,12.56,81,144
gpt-oss:20b,11x11_open_empty,11,open,open_empty,matrix,no,80,80,0,0,100,0,0,11.69,81,144
gpt-oss:20b,11x11_open_empty,11,open,open_empty,matrix,yes,80,79,1,0,98.7,1.3,0,21.66,81,144
gpt-oss:20b,11x11_open_empty,11,open,open_empty,simple,no,80,80,0,0,100,0,0,47.18,81,144
gpt-oss:20b,11x11_open_empty,11,open,open_empty,simple,yes,80,80,0,0,100,0,0,75.43,81,144
gpt-oss:20b,11x11_open_pass,11,open,open_pass,graph,no,71,66,5,2,93,7,2.8,152.12,72,120
gpt-oss:20b,11x11_open_pass,11,open,open_pass,graph,yes,71,71,0,0,100,0,0,55.9,72,120
gpt-oss:20b,11x11_open_pass,11,open,open_pass,list,no,71,70,1,0,98.6,1.4,0,37.43,72,120
gpt-oss:20b,11x11_open_pass,11,open,open_pass,list,yes,71,71,0,0,100,0,0,27.88,72,120
gpt-oss:20b,15x15_corridor_branch,15,corridor,corridor_branch,list,no,97,58,39,5,59.8,40.2,5.2,314.39,98,98
gpt-oss:20b,15x15_corridor_branch,15,corridor,corridor_branch,list,yes,97,78,19,2,80.4,19.6,2.1,175.66,98,98
gpt-oss:20b,15x15_corridor_dead-end,15,corridor,corridor_dead-end,graph,yes,96,65,31,3,67.7,32.3,3.1,218.51,97,96
gpt-oss:20b,15x15_corridor_dead-end,15,corridor,corridor_dead-end,list,no,96,53,43,7,55.2,44.8,7.3,424.5,97,96
gpt-oss:20b,15x15_corridor_dead-end,15,corridor,corridor_dead-end,list,yes,96,61,35,5,63.5,36.5,5.2,323.52,97,96
gpt-oss:20b,15x15_corridor_loop,15,corridor,corridor_loop,list,no,99,72,27,5,72.7,27.3,5.1,300.75,100,102
gpt-oss:20b,15x15_corridor_loop,15,corridor,corridor_loop,list,yes,99,77,22,3,77.8,22.2,3,194.09,100,102
gpt-oss:20b,15x15_corridor_spiral,15,corridor,corridor_spiral,list,yes,96,53,43,11,55.2,44.8,11.5,508.01,97,96
gpt-oss:20b,15x15_corridor_straight,15,corridor,corridor_straight,graph,yes,96,77,19,6,80.2,19.8,6.3,249.51,97,96
gpt-oss:20b,15x15_corridor_straight,15,corridor,corridor_straight,list,no,96,83,13,0,86.5,13.5,0,74.85,97,96
gpt-oss:20b,15x15_corridor_straight,15,corridor,corridor_straight,list,yes,96,86,10,0,89.6,10.4,0,68.45,97,96
gpt-oss:20b,15x15_open_detour,15,open,open_detour,list,no,156,150,6,0,96.2,3.8,0,33.18,157,276
gpt-oss:20b,15x15_open_detour,15,open,open_detour,list,yes,156,154,2,0,98.7,1.3,0,35.36,157,276
gpt-oss:20b,15x15_open_empty,15,open,open_empty,graph,yes,168,165,3,1,98.2,1.8,0.6,130.44,169,312
gpt-oss:20b,15x15_open_empty,15,open,open_empty,list,no,168,168,0,0,100,0,0,9.57,169,312
gpt-oss:20b,15x15_open_empty,15,open,open_empty,list,yes,168,168,0,0,100,0,0,13.22,169,312
gpt-oss:20b,15x15_open_pass,15,open,open_pass,list,no,143,138,5,0,96.5,3.5,0,32.06,144,252
gpt-oss:20b,15x15_open_pass,15,open,open_pass,list,yes,143,141,2,0,98.6,1.4,0,30.31,144,252
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,graph,no,6,6,0,0,100,0,0,13.17,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,graph,no,6,6,0,0,100,0,0,14.33,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,graph,yes,12,12,0,0,100,0,0,10.64,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,list,no,6,6,0,0,100,0,0,17.17,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,list,no,6,6,0,0,100,0,0,15.21,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,list,yes,12,12,0,0,100,0,0,14.28,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,matrix,no,6,6,0,0,100,0,0,29.92,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,matrix,no,6,6,0,0,100,0,0,28.15,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,matrix,yes,12,12,0,0,100,0,0,23.99,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,simple,no,6,6,0,0,100,0,0,37.36,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,simple,no,6,6,0,0,100,0,0,33.62,7,6
gpt-oss:20b,5x5_corridor_straight,5,corridor,corridor_straight,simple,yes,12,12,0,0,100,0,0,30.47,7,6
gpt-oss:20b,5x5_open_empty,5,open,open_empty,graph,no,8,8,0,0,100,0,0,15.79,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,graph,no,8,8,0,0,100,0,0,11.09,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,graph,yes,16,16,0,0,100,0,0,13.01,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,list,no,8,8,0,0,100,0,0,9.66,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,list,no,8,8,0,0,100,0,0,9.11,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,list,yes,16,16,0,0,100,0,0,8.63,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,matrix,no,8,7,1,0,87.5,12.5,0,17.59,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,matrix,no,8,8,0,0,100,0,0,15.04,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,matrix,yes,16,16,0,0,100,0,0,13.21,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,simple,no,8,8,0,0,100,0,0,30.8,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,simple,no,8,8,0,0,100,0,0,31.65,9,12
gpt-oss:20b,5x5_open_empty,5,open,open_empty,simple,yes,16,16,0,0,100,0,0,27.08,9,12
gpt-oss:20b,7x7_corridor_branch,7,corridor,corridor_branch,graph,no,17,16,1,0,94.1,5.9,0,23.77,18,18
gpt-oss:20b,7x7_corridor_branch,7,corridor,corridor_branch,graph,yes,17,16,1,0,94.1,5.9,0,19.23,18,18
gpt-oss:20b,7x7_corridor_branch,7,corridor,corridor_branch,list,no,17,16,1,0,94.1,5.9,0,36.07,18,18
gpt-oss:20b,7x7_corridor_branch,7,corridor,corridor_branch,list,yes,17,15,2,0,88.2,11.8,0,17.93,18,18
gpt-oss:20b,7x7_corridor_branch,7,corridor,corridor_branch,matrix,no,17,17,0,0,100,0,0,44.66,18,18
gpt-oss:20b,7x7_corridor_branch,7,corridor,corridor_branch,matrix,yes,17,14,3,0,82.4,17.6,0,43.87,18,18
gpt-oss:20b,7x7_corridor_branch,7,corridor,corridor_branch,simple,no,17,17,0,0,100,0,0,56.44,18,18
gpt-oss:20b,7x7_corridor_branch,7,corridor,corridor_branch,simple,yes,17,15,2,0,88.2,11.8,0,64.66,18,18
gpt-oss:20b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,graph,no,16,16,0,0,100,0,0,29.54,17,16
gpt-oss:20b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,graph,yes,16,15,1,0,93.7,6.3,0,19.54,17,16
gpt-oss:20b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,list,no,16,16,0,0,100,0,0,44.44,17,16
gpt-oss:20b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,list,yes,16,14,2,0,87.5,12.5,0,30.98,17,16
gpt-oss:20b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,matrix,no,16,15,1,0,93.7,6.3,0,70.4,17,16
gpt-oss:20b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,matrix,yes,16,14,2,0,87.5,12.5,0,70.64,17,16
gpt-oss:20b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,simple,no,16,16,0,0,100,0,0,104.78,17,16
gpt-oss:20b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,simple,yes,16,15,1,0,93.7,6.3,0,111.47,17,16
gpt-oss:20b,7x7_corridor_loop,7,corridor,corridor_loop,graph,no,18,18,0,0,100,0,0,44.89,19,20
gpt-oss:20b,7x7_corridor_loop,7,corridor,corridor_loop,graph,yes,18,16,2,0,88.9,11.1,0,20.28,19,20
gpt-oss:20b,7x7_corridor_loop,7,corridor,corridor_loop,list,no,18,17,1,0,94.4,5.6,0,40.67,19,20
gpt-oss:20b,7x7_corridor_loop,7,corridor,corridor_loop,list,yes,18,14,4,0,77.8,22.2,0,31.19,19,20
gpt-oss:20b,7x7_corridor_loop,7,corridor,corridor_loop,matrix,no,18,16,2,0,88.9,11.1,0,53.84,19,20
gpt-oss:20b,7x7_corridor_loop,7,corridor,corridor_loop,matrix,yes,18,14,4,0,77.8,22.2,0,47.19,19,20
gpt-oss:20b,7x7_corridor_loop,7,corridor,corridor_loop,simple,no,18,18,0,0,100,0,0,68.93,19,20
gpt-oss:20b,7x7_corridor_loop,7,corridor,corridor_loop,simple,yes,18,14,4,0,77.8,22.2,0,72.52,19,20
gpt-oss:20b,7x7_corridor_spiral,7,corridor,corridor_spiral,graph,no,16,16,0,0,100,0,0,35.85,17,16
gpt-oss:20b,7x7_corridor_spiral,7,corridor,corridor_spiral,graph,yes,16,16,0,0,100,0,0,31.53,17,16
gpt-oss:20b,7x7_corridor_spiral,7,corridor,corridor_spiral,list,no,16,15,1,0,93.7,6.3,0,48.33,17,16
gpt-oss:20b,7x7_corridor_spiral,7,corridor,corridor_spiral,list,yes,16,16,0,0,100,0,0,30.4,17,16
gpt-oss:20b,7x7_corridor_spiral,7,corridor,corridor_spiral,matrix,no,16,15,1,0,93.7,6.3,0,107.49,17,16
gpt-oss:20b,7x7_corridor_spiral,7,corridor,corridor_spiral,matrix,yes,16,16,0,0,100,0,0,86.4,17,16
gpt-oss:20b,7x7_corridor_spiral,7,corridor,corridor_spiral,simple,no,16,15,1,1,93.7,6.3,6.3,98.67,17,16
gpt-oss:20b,7x7_corridor_spiral,7,corridor,corridor_spiral,simple,yes,16,16,0,0,100,0,0,80.47,17,16
gpt-oss:20b,7x7_corridor_straight,7,corridor,corridor_straight,graph,no,16,16,0,0,100,0,0,31.04,17,16
gpt-oss:20b,7x7_corridor_straight,7,corridor,corridor_straight,graph,yes,16,16,0,0,100,0,0,17.25,17,16
gpt-oss:20b,7x7_corridor_straight,7,corridor,corridor_straight,list,no,16,15,1,0,93.7,6.3,0,33.72,17,16
gpt-oss:20b,7x7_corridor_straight,7,corridor,corridor_straight,list,yes,16,16,0,0,100,0,0,22.23,17,16
gpt-oss:20b,7x7_corridor_straight,7,corridor,corridor_straight,matrix,no,16,16,0,0,100,0,0,49.66,17,16
gpt-oss:20b,7x7_corridor_straight,7,corridor,corridor_straight,matrix,yes,16,16,0,0,100,0,0,41.09,17,16
gpt-oss:20b,7x7_corridor_straight,7,corridor,corridor_straight,simple,no,16,16,0,0,100,0,0,90.73,17,16
gpt-oss:20b,7x7_corridor_straight,7,corridor,corridor_straight,simple,yes,16,15,1,0,93.7,6.3,0,106.1,17,16
